import time: self [us] | cumulative | imported package
import time:       858 |        858 |                                       _compression
import time:       863 |        863 |                                       _bz2
import time:       967 |       2687 |                                     bz2
import time:       780 |        780 |                                       _lzma
import time:       958 |       1737 |                                     lzma
import time:      1749 |       6172 |                                   shutil
import time:      1603 |       9810 |                                 zipfile
import time:       723 |        723 |                                     importlib.metadata._functools
import time:       771 |       1494 |                                   importlib.metadata._text
import time:      1171 |       2664 |                                 importlib.metadata._adapters
import time:      1090 |       1090 |                                 importlib.metadata._meta
import time:      1046 |       1046 |                                 importlib.metadata._collections
import time:      1146 |       1146 |                                 importlib.metadata._itertools
import time:      1055 |       1055 |                                 importlib.abc
import time:      2522 |      20974 |                               importlib.metadata
import time:       878 |      21852 |                             urllib3.http2
import time:      1134 |       1134 |                             urllib3.http2.probe
import time:      1655 |       1655 |                               ipaddress
import time:       968 |       2623 |                             urllib3.util.ssl_match_hostname
import time:      1391 |      26998 |                           urllib3.connection
import time:       457 |        457 |                           compression
import time:       294 |        294 |                           zstandard
import time:      1509 |      29996 |                         urllib3.response
import time:      1029 |      33943 |                       urllib3._request_methods
import time:       930 |        930 |                       urllib3.util.proxy
import time:      1386 |      36258 |                     urllib3.connectionpool
import time:      1653 |       1653 |                     urllib3.poolmanager
import time:      1516 |     109223 |                   urllib3
import time:      1750 |       1750 |                           charset_normalizer.constant
import time:      1067 |       1067 |                             charset_normalizer.md__mypyc
import time:       680 |        680 |                               unicodedata
import time:        53 |         53 |                               _multibytecodec
import time:      1016 |       1748 |                             charset_normalizer.utils
import time:       992 |       3807 |                           charset_normalizer.md
import time:      1073 |       1073 |                           charset_normalizer.models
import time:      1095 |       7723 |                         charset_normalizer.cd
import time:      1115 |       8838 |                       charset_normalizer.api
import time:       853 |        853 |                       charset_normalizer.legacy
import time:       833 |        833 |                       charset_normalizer.version
import time:       368 |        368 |                       simplejson
import time:      1026 |       1026 |                           tempfile
import time:       760 |        760 |                             urllib.response
import time:       830 |       1589 |                           urllib.error
import time:      1093 |       1093 |                           nturl2path
import time:      1856 |       5564 |                         urllib.request
import time:      3284 |       8848 |                       http.cookiejar
import time:      2143 |       2143 |                       http.cookies
import time:      2271 |      24149 |                     requests.compat
import time:      1362 |      25510 |                   requests.exceptions
import time:       412 |        412 |                   chardet
import time:      1379 |       1379 |                         idna.idnadata
import time:      1062 |       1062 |                         idna.intranges
import time:      1490 |       3930 |                       idna.core
import time:       895 |        895 |                       idna.package_data
import time:      1518 |       6342 |                     idna
import time:      1466 |       7807 |                   requests.packages
import time:       765 |        765 |                               importlib._adapters
import time:       810 |       1574 |                             importlib._common
import time:       886 |       2460 |                           importlib.resources
import time:       903 |       3362 |                         certifi.core
import time:      1090 |       4452 |                       certifi
import time:       825 |       5276 |                     requests.certs
import time:       921 |        921 |                     requests.__version__
import time:      1239 |       1239 |                     requests._internal_utils
import time:      1105 |       1105 |                     requests.cookies
import time:      1006 |       1006 |                     requests.structures
import time:       923 |        923 |                     importlib.readers
import time:      1494 |      11961 |                   requests.utils
import time:       990 |        990 |                         requests.auth
import time:      1724 |       1724 |                             stringprep
import time:       830 |       2554 |                           encodings.idna
import time:       834 |        834 |                           requests.hooks
import time:      1041 |       1041 |                           requests.status_codes
import time:      1099 |       5527 |                         requests.models
import time:       907 |        907 |                           urllib3.contrib
import time:       351 |        351 |                           socks
import time:      1103 |       2360 |                         urllib3.contrib.socks
import time:      1046 |       9922 |                       requests.adapters
import time:       950 |      10872 |                     requests.sessions
import time:       972 |      11844 |                   requests.api
import time:      1563 |     168319 |                 requests
import time:      1086 |       1086 |                     tqdm._monitor
import time:       847 |        847 |                     tqdm._tqdm_pandas
import time:       931 |        931 |                         numbers
import time:      1153 |       1153 |                                 colorama.ansi
import time:        74 |         74 |                                   msvcrt
import time:      3184 |       3184 |                                       _ctypes
import time:      1064 |       1064 |                                       ctypes._endian
import time:      1414 |       5661 |                                     ctypes
import time:      1163 |       1163 |                                     ctypes.wintypes
import time:      1012 |       7835 |                                   colorama.win32
import time:       940 |       8848 |                                 colorama.winterm
import time:      1211 |      11211 |                               colorama.ansitowin32
import time:       982 |      12192 |                             colorama.initialise
import time:      1047 |      13239 |                           colorama
import time:      1801 |      15039 |                         tqdm.utils
import time:      1362 |      17331 |                       tqdm.std
import time:       779 |        779 |                         tqdm._dist_ver
import time:       925 |       1704 |                       tqdm.version
import time:      1261 |      20295 |                     tqdm.cli
import time:       966 |        966 |                     tqdm.gui
import time:      1242 |      24435 |                   tqdm
import time:       976 |        976 |                   tqdm.autonotebook
import time:      1057 |       1057 |                           signal
import time:       370 |        370 |                           fcntl
import time:      1211 |       2638 |                         subprocess
import time:       856 |        856 |                         asyncio.constants
import time:       723 |        723 |                             asyncio.format_helpers
import time:       759 |       1482 |                           asyncio.base_futures
import time:       906 |        906 |                           asyncio.log
import time:       872 |       3260 |                         asyncio.coroutines
import time:        58 |         58 |                             _contextvars
import time:       801 |        859 |                           contextvars
import time:       748 |        748 |                             asyncio.exceptions
import time:       761 |        761 |                             asyncio.base_tasks
import time:       909 |       2416 |                           _asyncio
import time:      1076 |       4350 |                         asyncio.events
import time:       817 |        817 |                         asyncio.futures
import time:       976 |        976 |                         asyncio.protocols
import time:       814 |        814 |                           asyncio.transports
import time:      1166 |       1980 |                         asyncio.sslproto
import time:       635 |        635 |                             asyncio.mixins
import time:      1026 |       1026 |                             asyncio.tasks
import time:       787 |       2447 |                           asyncio.locks
import time:      1161 |       3608 |                         asyncio.staggered
import time:       898 |        898 |                         asyncio.trsock
import time:      1612 |      20991 |                       asyncio.base_events
import time:       788 |        788 |                       asyncio.runners
import time:       785 |        785 |                       asyncio.queues
import time:       990 |        990 |                       asyncio.streams
import time:       824 |        824 |                       asyncio.subprocess
import time:       706 |        706 |                       asyncio.threads
import time:       998 |        998 |                         _overlapped
import time:       905 |        905 |                         asyncio.base_subprocess
import time:      1282 |       1282 |                         asyncio.proactor_events
import time:      1411 |       1411 |                         asyncio.selector_events
import time:      1107 |       1107 |                         asyncio.windows_utils
import time:      1160 |       6861 |                       asyncio.windows_events
import time:       991 |      32933 |                     asyncio
import time:       879 |      33811 |                   tqdm.asyncio
import time:       946 |      60166 |                 tqdm.auto
import time:      1173 |       1173 |                   tqdm.contrib
import time:      1097 |       2269 |                 tqdm.contrib.concurrent
import time:      1317 |       1317 |                 huggingface_hub.constants
import time:      1281 |       1281 |                   huggingface_hub.errors
import time:      1038 |       1038 |                       _uuid
import time:      1381 |       2419 |                     uuid
import time:      1277 |       1277 |                         huggingface_hub.utils.tqdm
import time:      2151 |       2151 |                           configparser
import time:      2468 |       2468 |                             platform
import time:     17497 |      19965 |                           huggingface_hub.utils._runtime
import time:       950 |      23065 |                         huggingface_hub.utils._auth
import time:      1082 |       1082 |                         huggingface_hub.utils._cache_assets
import time:      1630 |       1630 |                                 gettext
import time:      1372 |       3002 |                               argparse
import time:       916 |       3917 |                             huggingface_hub.commands
import time:      1688 |       5605 |                           huggingface_hub.commands._cli_utils
import time:      1076 |       1076 |                           huggingface_hub.utils.logging
import time:      4032 |      10712 |                         huggingface_hub.utils._cache_manager
import time:      1204 |       1204 |                         huggingface_hub.utils._chunk_utils
import time:      1010 |       1010 |                         huggingface_hub.utils._datetime
import time:       863 |        863 |                         huggingface_hub.utils._experimental
import time:      1062 |       1062 |                             yaml.error
import time:      1027 |       1027 |                             yaml.tokens
import time:      1047 |       1047 |                             yaml.events
import time:       916 |        916 |                             yaml.nodes
import time:      5876 |       5876 |                               yaml.reader
import time:      1567 |       1567 |                               yaml.scanner
import time:      1134 |       1134 |                               yaml.parser
import time:       882 |        882 |                               yaml.composer
import time:      1645 |       1645 |                               yaml.constructor
import time:      2326 |       2326 |                               yaml.resolver
import time:      1147 |      14574 |                             yaml.loader
import time:       975 |        975 |                               yaml.emitter
import time:       885 |        885 |                               yaml.serializer
import time:       986 |        986 |                               yaml.representer
import time:       919 |       3763 |                             yaml.dumper
import time:       906 |        906 |                               yaml._yaml
import time:      1027 |       1933 |                             yaml.cyaml
import time:      1308 |      25627 |                           yaml
import time:       724 |        724 |                               filelock._error
import time:      1493 |       2216 |                             filelock._api
import time:       699 |        699 |                               filelock._util
import time:       985 |       1684 |                             filelock._soft
import time:       934 |        934 |                             filelock._unix
import time:       883 |        883 |                             filelock._windows
import time:      1468 |       1468 |                             filelock.asyncio
import time:       785 |        785 |                             filelock.version
import time:      1221 |       9189 |                           filelock
import time:      1037 |      35852 |                         huggingface_hub.utils._fixes
import time:       942 |        942 |                           huggingface_hub.utils._subprocess
import time:      1182 |       2124 |                         huggingface_hub.utils._git_credential
import time:       787 |        787 |                           huggingface_hub.utils._deprecation
import time:       807 |        807 |                             huggingface_hub.utils._typing
import time:       938 |       1745 |                           huggingface_hub.utils._validators
import time:      1218 |       3748 |                         huggingface_hub.utils._headers
import time:       939 |        939 |                         huggingface_hub.utils._hf_folder
import time:      1004 |       1004 |                           shlex
import time:       844 |        844 |                           huggingface_hub.utils._lfs
import time:      1502 |       3349 |                         huggingface_hub.utils._http
import time:       880 |        880 |                         huggingface_hub.utils._pagination
import time:       905 |        905 |                         huggingface_hub.utils._paths
import time:      1718 |       1718 |                         huggingface_hub.utils._safetensors
import time:       942 |        942 |                         huggingface_hub.utils._telemetry
import time:      2138 |       2138 |                         huggingface_hub.utils._xet
import time:      1120 |      92921 |                       huggingface_hub.utils
import time:      3369 |      96289 |                     huggingface_hub._local_folder
import time:       706 |        706 |                       huggingface_hub.utils.insecure_hashlib
import time:       978 |       1684 |                     huggingface_hub.utils.sha
import time:      2276 |     102667 |                   huggingface_hub.file_download
import time:      1538 |       1538 |                   huggingface_hub.lfs
import time:      2383 |     107867 |                 huggingface_hub._commit_api
import time:      1738 |       1738 |                 huggingface_hub._inference_endpoints
import time:      1785 |       1785 |                   huggingface_hub._space_api
import time:      2108 |       3892 |                 huggingface_hub._jobs_api
import time:      1481 |       1481 |                 huggingface_hub._upload_large_folder
import time:      3779 |       3779 |                 huggingface_hub.community
import time:      2424 |       2424 |                 huggingface_hub.repocard_data
import time:      1155 |       1155 |                 huggingface_hub.utils.endpoint_helpers
import time:      1215 |       1215 |                 packaging
import time:       756 |        756 |                   packaging._structures
import time:      2889 |       3645 |                 packaging.version
import time:      1493 |       1493 |                         regex._regex
import time:      4927 |       6420 |                       regex._regex_core
import time:       156 |        156 |                       regex.DEFAULT_VERSION
import time:      1146 |       7721 |                     regex.regex
import time:       996 |       8716 |                   regex
import time:       947 |        947 |                   transformers.utils.doc
import time:       759 |        759 |                           numpy._utils._convertions
import time:       669 |       1428 |                         numpy._utils
import time:       974 |       2402 |                       numpy._globals
import time:       833 |        833 |                       numpy.exceptions
import time:       660 |        660 |                       numpy.version
import time:       125 |        125 |                         numpy._distributor_init_local
import time:       748 |        873 |                       numpy._distributor_init
import time:       630 |        630 |                                 numpy._utils._inspect
import time:      1162 |       1162 |                                   numpy.core._exceptions
import time:       881 |        881 |                                   numpy.dtypes
import time:      4964 |       7006 |                                 numpy.core._multiarray_umath
import time:       843 |       8479 |                               numpy.core.overrides
import time:      1281 |       9759 |                             numpy.core.multiarray
import time:      1079 |       1079 |                             numpy.core.umath
import time:       752 |        752 |                               numpy.core._string_helpers
import time:       357 |        357 |                                     pickle5
import time:       983 |        983 |                                       _compat_pickle
import time:       177 |        177 |                                       _pickle
import time:       387 |        387 |                                           org
import time:        30 |        417 |                                         org.python
import time:        16 |        433 |                                       org.python.core
import time:      1464 |       3055 |                                     pickle
import time:      1119 |       4530 |                                   numpy.compat.py3k
import time:       911 |       5441 |                                 numpy.compat
import time:      1104 |       1104 |                                 numpy.core._dtype
import time:      1024 |       7568 |                               numpy.core._type_aliases
import time:      1164 |       9483 |                             numpy.core.numerictypes
import time:       849 |        849 |                                     numpy.core._ufunc_config
import time:       904 |       1752 |                                   numpy.core._methods
import time:      1481 |       3233 |                                 numpy.core.fromnumeric
import time:      1076 |       4308 |                               numpy.core.shape_base
import time:      1261 |       1261 |                               numpy.core.arrayprint
import time:       861 |        861 |                               numpy.core._asarray
import time:      1867 |       8295 |                             numpy.core.numeric
import time:      1685 |       1685 |                             numpy.core.defchararray
import time:      1045 |       1045 |                             numpy.core.records
import time:       858 |        858 |                             numpy.core.memmap
