import time: self [us] | cumulative | imported package
import time:       819 |       2335 |             urllib3.util.ssl_match_hostname
import time:      1437 |      25501 |           urllib3.connection
import time:       407 |        407 |           compression
import time:       266 |        266 |           zstandard
import time:      1387 |      28267 |         urllib3.response
import time:      1175 |      36412 |       urllib3._request_methods
import time:       819 |        819 |       urllib3.util.proxy
import time:      1122 |      41144 |     urllib3.connectionpool
import time:      1532 |       1532 |     urllib3.poolmanager
import time:      1478 |     123786 |   urllib3
import time:      1840 |       1840 |           charset_normalizer.constant
import time:       769 |        769 |             charset_normalizer.md__mypyc
import time:      1010 |       1010 |               unicodedata
import time:       108 |        108 |               _multibytecodec
import time:      1310 |       2428 |             charset_normalizer.utils
import time:      1152 |       4347 |           charset_normalizer.md
import time:      1136 |       1136 |           charset_normalizer.models
import time:      1270 |       8592 |         charset_normalizer.cd
import time:      1401 |       9992 |       charset_normalizer.api
import time:       822 |        822 |       charset_normalizer.legacy
import time:       867 |        867 |       charset_normalizer.version
import time:       385 |        385 |       simplejson
import time:       334 |        334 |               org
import time:        30 |        364 |             org.python
import time:        25 |        388 |           org.python.core
import time:       900 |       1288 |         copy
import time:      1161 |       1161 |           tempfile
import time:       787 |        787 |             urllib.response
import time:      1171 |       1957 |           urllib.error
import time:       976 |        976 |           nturl2path
import time:      2609 |       6702 |         urllib.request
import time:      3353 |      11342 |       http.cookiejar
import time:      1982 |       1982 |       http.cookies
import time:      2052 |      27440 |     requests.compat
import time:      1360 |      28800 |   requests.exceptions
import time:       432 |        432 |   chardet
import time:      1285 |       1285 |         idna.idnadata
import time:      1228 |       1228 |         idna.intranges
import time:      1836 |       4348 |       idna.core
import time:      1067 |       1067 |       idna.package_data
import time:      1102 |       6515 |     idna
import time:      1036 |       7551 |   requests.packages
import time:       848 |        848 |               importlib._adapters
import time:       808 |       1655 |             importlib._common
import time:       799 |       2453 |           importlib.resources
import time:       965 |       3417 |         certifi.core
import time:      1088 |       4505 |       certifi
import time:       822 |       5326 |     requests.certs
import time:       891 |        891 |     requests.__version__
import time:      1175 |       1175 |     requests._internal_utils
import time:       985 |        985 |     requests.cookies
import time:       968 |        968 |     requests.structures
import time:       843 |        843 |     importlib.readers
import time:      1456 |      11643 |   requests.utils
import time:       832 |        832 |         requests.auth
import time:       790 |        790 |             stringprep
import time:       816 |       1606 |           encodings.idna
import time:       768 |        768 |           requests.hooks
import time:      1011 |       1011 |           requests.status_codes
import time:      1000 |       4385 |         requests.models
import time:       800 |        800 |           urllib3.contrib
import time:       325 |        325 |           socks
